goos: linux
goarch: amd64
pkg: github.com/kellabyte/go-benchmarks/hashing
BenchmarkTsip/8-40                   	100000000	        13.8 ns/op	 579.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/32-40                  	100000000	        19.1 ns/op	1677.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/64-40                  	50000000	        27.4 ns/op	2333.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/128-40                 	30000000	        45.1 ns/op	2840.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/256-40                 	20000000	        80.0 ns/op	3199.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/512-40                 	10000000	       139 ns/op	3667.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/1024-40                	 5000000	       283 ns/op	3606.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/4096-40                	 1000000	      1100 ns/op	3721.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/8192-40                	 1000000	      2111 ns/op	3879.82 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/kellabyte/go-benchmarks/hashing	391.451s
